reserve,site,genus,lat,lon
Big Creek,1,Ixodes,36.070161,-121.59829
Big Creek,2,Dermacentor,36.058876,-121.58824
Big Creek,2,Ixodes,36.058876,-121.58824
Big Creek,3,Dermacentor,36.059886,-121.58596
Big Creek,3,Ixodes,36.059886,-121.58596
Coal Oil Point,1,Ixodes,34.4163,-119.8779
Coal Oil Point,2,Dermacentor,34.4164,-119.87721
Coal Oil Point,2,Ixodes,34.4164,-119.87721
Coal Oil Point,3,Dermacentor,34.41425,-119.87868
Coal Oil Point,3,Haemaphysalis,34.41425,-119.87868
Coal Oil Point,3,Haemaphysalis,34.41425,-119.87868
Coal Oil Point,3,Ixodes,34.41425,-119.87868
Fort Ord,1,Ixodes,36.684908,-121.77692
Fort Ord,2,Dermacentor,36.685532,-121.77503
Fort Ord,2,Haemaphysalis,36.685532,-121.77503
Fort Ord,2,Ixodes,36.685532,-121.77503
Fort Ord,3,Dermacentor,36.685044,-121.77405
Fort Ord,3,Ixodes,36.685044,-121.77405
Hastings,1,Ixodes,36.38845,-121.54774
Hastings,2,Dermacentor,36.385711,-121.55188
Hastings,2,Haemaphysalis,36.385711,-121.55188
Hastings,2,Ixodes,36.385711,-121.55188
Hastings,3,Dermacentor,36.38415,-121.55337
Hastings,3,Ixodes,36.38415,-121.55337
McLaughlin,1,Ixodes,38.87289,-122.43265
McLaughlin,2,Dermacentor,38.874401,-122.42433
McLaughlin,3,Dermacentor,38.86663,-122.42771
McLaughlin,3,Ixodes,38.86663,-122.42771
Point Reyes,1,Ixodes,37.970556,-122.7318
Point Reyes,2,Dermacentor,37.9709,-122.73534
Point Reyes,2,Ixodes,37.9709,-122.73534
Point Reyes,3,Ixodes,37.96703,-122.73035
Quail Ridge,1,Ixodes,38.488989,-122.15171
Quail Ridge,2,Dermacentor,38.47763,-122.14228
Quail Ridge,2,Ixodes,38.47763,-122.14228
Quail Ridge,3,Dermacentor,38.479995,-122.14463
Quail Ridge,3,Ixodes,38.479995,-122.14463
Rancho Marino,1,Ixodes,35.53549,-121.08241
Rancho Marino,2,Dermacentor,35.53624,-121.08302
Rancho Marino,2,Ixodes,35.53624,-121.08302
Rancho Marino,3,Dermacentor,35.541394,-121.08762
Rancho Marino,3,Ixodes,35.541394,-121.08762
Santa Cruz Island,1,Ixodes,34.001384,-119.71451
Sedgwick,1,Ixodes,34.69812,-120.04715
Sedgwick,2,Dermacentor,34.71622,-120.05077
Sedgwick,2,Haemaphysalis,34.71622,-120.05077
Sedgwick,2,Haemaphysalis,34.71622,-120.05077
Sedgwick,2,Ixodes,34.71622,-120.05077
Sedgwick,3,Dermacentor,34.71581,-120.04928
Sedgwick,3,Haemaphysalis,34.71581,-120.04928
Sedgwick,3,Haemaphysalis,34.71581,-120.04928
Sedgwick,3,Ixodes,34.71581,-120.04928
Stunt Ranch,1,Ixodes,34.09381,-118.65601
Stunt Ranch,2,Dermacentor,34.09252,-118.65698
Stunt Ranch,2,Haemaphysalis,34.09252,-118.65698
Stunt Ranch,3,Dermacentor,34.09334,-118.65728
Stunt Ranch,3,Ixodes,34.09334,-118.65728