FIPS_Code,State,County,Bb_county_Status,Borrelia_mayonii_County_Status
06001,CA,Alameda County,Present,No records
06003,CA  ,Alpine County                                                                                       ,No records,No records
06005,CA  ,Amador County                                                                                       ,No records,No records
06007,CA,Butte County,Present,No records
06009,CA,Calaveras County,Present,No records
06011,CA  ,Colusa County                                                                                       ,No records,No records
06013,CA,Contra Costa County,Present,No records
06015,CA  ,Del Norte County                                                                                    ,No records,No records
06017,CA,El Dorado County,Present,No records
06019,CA  ,Fresno County                                                                                       ,No records,No records
06021,CA  ,Glenn County                                                                                        ,No records,No records
06023,CA  ,Humboldt County                                                                                     ,No records,No records
06025,CA  ,Imperial County                                                                                     ,No records,No records
06027,CA  ,Inyo County                                                                                         ,No records,No records
06029,CA  ,Kern County                                                                                         ,No records,No records
06031,CA  ,Kings County                                                                                        ,No records,No records
06033,CA,Lake County,Present,No records
06035,CA  ,Lassen County                                                                                       ,No records,No records
06037,CA,Los Angeles County,Present,No records
06039,CA  ,Madera County                                                                                       ,No records,No records
06041,CA,Marin County,Present,No records
06043,CA,Mariposa County,Present,No records
06045,CA,Mendocino County,Present,No records
06047,CA  ,Merced County                                                                                       ,No records,No records
06049,CA  ,Modoc County                                                                                        ,No records,No records
06051,CA  ,Mono County                                                                                         ,No records,No records
06053,CA  ,Monterey County                                                                                     ,No records,No records
06055,CA  ,Napa County                                                                                         ,No records,No records
06057,CA,Nevada County,Present,No records
06059,CA  ,Orange County                                                                                       ,No records,No records
06061,CA  ,Placer County                                                                                       ,No records,No records
06063,CA  ,Plumas County                                                                                       ,No records,No records
06065,CA  ,Riverside County                                                                                    ,No records,No records
06067,CA,Sacramento County,Present,No records
06069,CA  ,San Benito County                                                                                   ,No records,No records
06071,CA  ,San Bernardino County                                                                               ,No records,No records
06073,CA  ,San Diego County                                                                                    ,No records,No records
06075,CA  ,San Francisco County                                                                                ,No records,No records
06077,CA  ,San Joaquin County                                                                                  ,No records,No records
06079,CA,San Luis Obispo County,Present,No records
06081,CA,San Mateo County,Present,No records
06083,CA  ,Santa Barbara County                                                                                ,No records,No records
06085,CA,Santa Clara County,Present,No records
06087,CA,Santa Cruz County,Present,No records
06089,CA  ,Shasta County                                                                                       ,No records,No records
06091,CA  ,Sierra County                                                                                       ,No records,No records
06093,CA  ,Siskiyou County                                                                                     ,No records,No records
06095,CA  ,Solano County                                                                                       ,No records,No records
06097,CA,Sonoma County,Present,No records
06099,CA  ,Stanislaus County                                                                                   ,No records,No records
06101,CA  ,Sutter County                                                                                       ,No records,No records
06103,CA  ,Tehama County                                                                                       ,No records,No records
06105,CA  ,Trinity County                                                                                      ,No records,No records
06107,CA  ,Tulare County                                                                                       ,No records,No records
06109,CA  ,Tuolumne County                                                                                     ,No records,No records
06111,CA  ,Ventura County                                                                                      ,No records,No records
06113,CA  ,Yolo County                                                                                         ,No records,No records
06115,CA  ,Yuba County                                                                                         ,No records,No records